level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3962	3002	-1	
2	1	1	0	0	0	16	24	3938	2958	-1	
3	1	1	1	0	0	16	24	3944	2958	-1	
4	1	1	1	1	0	206	24	3732	38	-1	
5	1	1	1	1	1	206	37	32	17	96.725700	자동
5	1	1	1	1	2	250	38	35	15	96.780006	저장
5	1	1	1	1	3	388	30	270	31	4.458904	ABRBY-G
5	1	1	1	1	4	782	44	12	6	42.873436	v
5	1	1	1	1	5	832	29	11	11	57.475029	(2
5	1	1	1	1	6	926	44	24	4	11.029663	oo
5	1	1	1	1	7	1021	34	17	22	93.255936	여
5	1	1	1	1	8	1043	34	17	22	93.241669	행
5	1	1	1	1	9	1064	34	16	22	93.274956	일
5	1	1	1	1	10	1087	34	13	22	92.401741	정
5	1	1	1	1	11	1111	36	10	17	93.075531	표
5	1	1	1	1	12	1129	54	8	3	91.869125	_
5	1	1	1	1	13	1139	36	11	18	79.014809	ㄷ
5	1	1	1	1	14	1154	26	18	42	21.253170	26
5	1	1	1	1	15	1189	34	58	22	29.263277	HAS
5	1	1	1	1	16	1266	34	24	22	93.123093	비
5	1	1	1	1	17	1298	54	8	3	89.072075	딩
5	1	1	1	1	18	1305	34	103	23	38.193798	_2810-
5	1	1	1	1	19	1363	26	14	42	91.256912	ㄷ
5	1	1	1	1	20	1376	26	35	42	5.700693	2.……
5	1	1	1	1	21	1473	42	24	16	7.015057	 Q
5	1	1	1	1	22	1511	41	77	16	90.257729	Search
5	1	1	1	1	23	1599	40	187	21	90.257729	(Cmd
5	1	1	1	1	24	1664	26	11	42	94.732971	+
5	1	1	1	1	25	1689	26	46	42	78.822083	Ctrl
5	1	1	1	1	26	1745	26	11	42	92.190788	+
5	1	1	1	1	27	1766	26	25	42	92.190788	U)
5	1	1	1	1	28	2038	43	2	2	63.283684	!
5	1	1	1	1	29	2118	28	73	28	38.811005	ee
5	1	1	1	1	30	2249	30	127	24	72.492928	wH#e
5	1	1	1	1	31	2432	26	28	30	95.226547	A
5	1	1	1	1	32	2540	26	162	32	17.690411	BDPrG
5	1	1	1	1	33	2780	29	58	27	0.000000	aly
5	1	1	1	1	34	2860	24	34	38	64.251724	[을
5	1	1	1	1	35	2910	24	36	34	51.595692	Ee
5	1	1	1	1	36	2970	40	24	4	50.985107	…
5	1	1	1	1	37	3036	30	19	26	5.052204	a
5	1	1	1	1	38	3065	30	17	22	92.528748	견
5	1	1	1	1	39	3086	30	17	22	93.151749	적
5	1	1	1	1	40	3106	30	20	21	93.244316	산
5	1	1	1	1	41	3126	30	20	22	87.927895	출
5	1	1	1	1	42	3148	30	117	23	46.624855	내역서
5	1	1	1	1	43	3224	20	12	46	44.469761	ㄷ
5	1	1	1	1	44	3236	20	32	46	78.491760	26
5	1	1	1	1	45	3274	30	18	22	32.123764	테
5	1	1	1	1	46	3294	32	40	17	92.898315	스트
5	1	1	1	1	47	3344	30	594	23	0.000000	b|_BID-E2E-001_QCEZETEST001_2026-04-21.xIsx
5	1	1	1	1	48	3948	40	12	4	95.700951	~
4	1	1	1	2	0	26	71	3112	55	-1	
5	1	1	1	2	1	26	87	24	39	92.948296	홈
5	1	1	1	2	2	99	89	37	19	93.133125	삽입
5	1	1	1	2	3	158	78	9	36	25.625690	_
5	1	1	1	2	4	187	89	61	20	89.074524	그리기
5	1	1	1	2	5	297	89	56	20	79.047432	페이지
5	1	1	1	2	6	371	89	84	20	79.047432	레이아웃
5	1	1	1	2	7	514	89	32	20	54.748062	수식
5	1	1	1	2	8	597	89	61	20	93.168304	데이터
5	1	1	1	2	9	709	89	38	19	64.695312	Be
5	1	1	1	2	10	800	89	38	20	52.060795	보기
5	1	1	1	2	11	888	89	17	20	92.453392	자
5	1	1	1	2	12	913	89	14	18	93.290291	동
5	1	1	1	2	13	934	97	9	8	76.690041	호
5	1	1	1	2	14	1006	89	32	19	75.917877	개발
5	1	1	1	2	15	1054	90	37	15	96.973549	도구
5	1	1	1	2	16	1736	88	86	30	51.480110	Doz
5	1	1	1	2	17	1878	80	33	40	18.553801	[>
5	1	1	1	2	18	1922	86	45	30	95.312805	공유
5	1	1	1	2	19	1984	99	16	9	95.585106	~
5	1	1	1	2	20	2037	71	8	26	76.633438	|
5	1	1	1	2	21	2070	82	24	40	65.894089	=
5	1	1	1	2	22	2139	84	41	22	91.810951	삽입
5	1	1	1	2	23	2229	84	63	22	79.006371	그리기
5	1	1	1	2	24	2339	84	20	22	92.900986	페
5	1	1	1	2	25	2364	84	17	22	93.133125	이
5	1	1	1	2	26	2389	84	15	22	93.278839	지
5	1	1	1	2	27	2416	84	28	22	93.199715	레
5	1	1	1	2	28	2452	84	16	22	93.181541	이
5	1	1	1	2	29	2474	84	21	22	91.823952	아
5	1	1	1	2	30	2495	79	18	36	92.317001	웃
5	1	1	1	2	31	2549	84	41	22	91.144577	수식
5	1	1	1	2	32	2640	84	62	22	92.562294	데이터
5	1	1	1	2	33	2751	84	43	22	92.382011	검토
5	1	1	1	2	34	2841	84	41	22	92.638657	보기
5	1	1	1	2	35	2930	84	67	22	68.136162	ASH
5	1	1	1	2	36	3043	84	43	22	59.438076	개발
5	1	1	1	2	37	3095	85	43	21	59.438076	도구
4	1	1	1	3	0	39	140	3915	64	-1	
5	1	1	1	3	1	39	157	74	46	37.101089	[fe
5	1	1	1	3	2	247	160	38	22	96.817917	맑은
5	1	1	1	3	3	298	160	35	22	96.944954	고딕
5	1	1	1	3	4	344	161	56	23	96.272301	(본문)
5	1	1	1	3	5	568	162	122	18	29.713303	Ln.
5	1	1	1	3	6	925	174	10	6	25.558277	;
5	1	1	1	3	7	1063	174	10	6	0.000000	'
